
1월 11, 2024 13:21:54.378 NEW SESSION
1월 11, 2024 17:41:06.175 [7136:8772:0111/174106.175:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:41:58.602 [7136:8772:0111/174158.602:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:47:20.561 [7136:8772:0111/174720.560:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:48:42.891 [7136:8772:0111/174842.891:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:48:46.558 [7136:8772:0111/174846.557:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:48:58.288 [7136:8772:0111/174858.287:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:49:16.308 [7136:8772:0111/174916.308:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:49:19.609 [7136:8772:0111/174919.609:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:49:27.791 [7136:8772:0111/174927.791:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:58:46.952 [7136:8772:0111/175846.952:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 18:00:01.125 [7136:8772:0111/180001.124:ERROR:CONSOLE(1)] "Request Network.loadNetworkResource failed. {"code":-32602,"message":"Unsupported URL scheme"}", source: devtools://devtools/bundled/devtools-frontend/front_end/core/protocol_client/protocol_client.js (1)
